ECG,EDA
613,63
611,62
608,63
607,62
607,63
608,62
608,63
607,62
606,63
606,61
608,63
608,61
608,63
608,62
607,63
606,62
603,63
602,62
597,63
593,61
589,63
583,62
579,63
574,62
569,63
565,62
561,63
557,62
554,63
551,62
550,63
551,62
554,63
558,62
564,63
573,61
591,63
606,61
622,63
639,61
658,63
676,62
698,63
719,62
739,63
760,62
778,63
796,62
812,63
829,61
847,63
865,61
884,63
902,61
919,63
934,61
943,63
943,61
938,63
929,60
918,63
898,60
874,63
847,61
821,63
799,62
775,63
751,61
729,63
710,62
691,63
675,61
660,63
646,62
633,63
622,62
610,63
598,62
584,63
572,63
560,63
550,62
540,63
533,62
526,63
521,62
518,63
515,62
513,63
511,61
510,63
508,62
509,63
509,62
508,63
507,63
504,63
502,62
499,63
497,62
496,63
494,62
493,63
492,62
493,63
495,63
496,63
497,63
498,63
499,62
497,63
500,62
503,63
504,62
505,63
506,62
509,63
510,62
510,63
508,62
507,63
507,62
507,63
507,62
506,63
508,63
507,63
508,62
509,63
510,62
512,63
513,62
515,63
516,62
517,63
520,62
519,63
519,63
519,63
518,64
519,63
518,63
519,63
518,64
519,63
520,64
520,63
521,64
522,63
524,63
526,63
527,63
530,63
531,64
532,62
534,64
534,62
534,64
533,63
532,63
532,63
532,63
531,63
530,63
531,62
532,63
532,62
534,63
535,63
537,63
536,62
540,63
542,62
543,64
543,62
542,63
544,62
543,64
542,62
541,63
539,61
540,63
540,62
540,63
540,62
538,63
541,62
542,64
544,62
544,63
545,62
546,63
547,63
548,63
548,62
549,64
547,62
546,63
544,62
542,63
542,62
541,63
541,62
539,63
540,62
541,64
541,62
542,64
542,62
543,63
545,62
547,63
547,62
548,64
549,62
552,64
551,62
550,63
550,62
548,63
547,62
546,64
545,62
544,63
545,62
546,64
546,62
547,64
549,63
550,63
552,62
553,63
555,63
559,64
560,63
561,63
562,63
562,64
560,63
560,63
559,64
559,63
558,64
557,62
557,63
559,63
559,64
561,62
561,64
563,62
566,64
568,62
572,64
572,62
574,64
576,63
576,64
575,63
574,63
573,62
572,64
571,62
569,64
568,62
567,64
568,62
569,64
571,62
571,64
572,63
574,64
575,62
577,64
579,62
579,64
581,62
582,64
581,62
579,64
577,62
577,64
575,62
574,64
573,62
573,63
574,63
574,63
574,63
572,64
573,62
575,64
576,62
578,64
578,62
579,63
580,63
579,63
579,62
577,63
575,63
571,63
572,64
571,63
569,64
568,63
566,64
568,63
568,64
568,63
567,64
572,63
573,64
575,63
576,64
576,63
578,64
577,63
576,64
574,63
573,64
573,63
